sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8
GOUPIL-1,NA,NA,NA,NA,NA,NA,NA
GOUPIL-2,NA,NA,NA,NA,NA,NA,NA
GOUPIL-3,NA,NA,NA,NA,NA,NA,NA
GOUPIL-4,NA,NA,NA,NA,NA,NA,NA
GOUPIL-5,NA,NA,NA,NA,NA,NA,NA
GOUPIL-6,NA,NA,NA,NA,NA,NA,NA
GOUPIL-7,NA,NA,NA,NA,NA,NA,NA
GOUPIL-8,NA,NA,NA,NA,NA,NA,NA
GOUPIL-9,NA,NA,NA,NA,NA,NA,NA
GOUPIL-10,NA,NA,NA,NA,NA,NA,NA
GOUPIL-11,NA,NA,NA,NA,NA,NA,NA
GOUPIL-12,NA,NA,NA,NA,NA,NA,NA
GOUPIL-13,NA,NA,NA,NA,NA,NA,NA
GOUPIL-14,NA,NA,NA,NA,NA,NA,NA
GOUPIL-15,NA,NA,NA,NA,NA,NA,NA
GOUPIL-16,NA,NA,NA,NA,NA,NA,NA
GOUPIL-17,NA,NA,NA,NA,NA,NA,NA
GOUPIL-18,NA,NA,NA,NA,NA,NA,NA
GOUPIL-19,NA,NA,NA,NA,NA,NA,NA
GOUPIL-20,NA,NA,NA,NA,NA,NA,NA
GOUPIL-21,NA,NA,NA,NA,NA,NA,NA
GOUPIL-22,NA,NA,NA,NA,NA,NA,NA
GOUPIL-23,NA,NA,NA,NA,NA,NA,NA
GOUPIL-24,NA,NA,NA,NA,NA,NA,NA
GOUPIL-25,NA,NA,NA,NA,NA,NA,NA
GOUPIL-26,NA,NA,NA,NA,NA,NA,NA
GOUPIL-27,NA,NA,NA,NA,NA,NA,NA
GOUPIL-28,NA,NA,NA,NA,NA,NA,NA
GOUPIL-29,NA,NA,NA,NA,NA,NA,NA
GOUPIL-30,NA,NA,NA,NA,NA,NA,NA
GOUPIL-31,NA,NA,NA,NA,NA,NA,NA
GOUPIL-32,NA,NA,NA,NA,NA,NA,NA
GOUPIL-33,NA,NA,NA,NA,NA,NA,NA
GOUPIL-34,NA,NA,NA,NA,NA,NA,NA
GOUPIL-35,NA,NA,NA,NA,NA,NA,NA
GOUPIL-36,NA,NA,NA,NA,NA,NA,NA
GOUPIL-37,NA,NA,NA,NA,NA,NA,NA
GOUPIL-38,NA,NA,NA,NA,NA,NA,NA
GOUPIL-39,NA,NA,NA,NA,NA,NA,NA
GOUPIL-40,NA,NA,NA,NA,NA,NA,NA
GOUPIL-41,NA,NA,NA,NA,NA,NA,NA
GOUPIL-42,NA,NA,NA,NA,NA,NA,NA
GOUPIL-43,NA,NA,NA,NA,NA,NA,NA
GOUPIL-44,NA,NA,NA,NA,NA,NA,NA
GOUPIL-45,NA,NA,NA,NA,NA,NA,NA
GOUPIL-46,NA,NA,NA,NA,NA,NA,NA
GOUPIL-48,NA,NA,NA,NA,NA,NA,NA
GOUPIL-49,NA,NA,NA,NA,NA,NA,NA
GOUPIL-50,NA,NA,NA,NA,NA,NA,NA
GOUPIL-51,NA,NA,NA,NA,NA,NA,NA
GOUPIL-52,GOUPIL-7587,NA,NA,NA,NA,NA,NA
GOUPIL-53,NA,NA,NA,NA,NA,NA,NA
GOUPIL-54,NA,NA,NA,NA,NA,NA,NA
GOUPIL-55,NA,NA,NA,NA,NA,NA,NA
GOUPIL-56,NA,NA,NA,NA,NA,NA,NA
GOUPIL-57,NA,NA,NA,NA,NA,NA,NA
GOUPIL-58,NA,NA,NA,NA,NA,NA,NA
GOUPIL-59,NA,NA,NA,NA,NA,NA,NA
GOUPIL-60,NA,NA,NA,NA,NA,NA,NA
GOUPIL-61,NA,NA,NA,NA,NA,NA,NA
GOUPIL-62,NA,NA,NA,NA,NA,NA,NA
GOUPIL-63,NA,NA,NA,NA,NA,NA,NA
GOUPIL-64,NA,NA,NA,NA,NA,NA,NA
GOUPIL-65,NA,NA,NA,NA,NA,NA,NA
GOUPIL-66,NA,NA,NA,NA,NA,NA,NA
GOUPIL-67,NA,NA,NA,NA,NA,NA,NA
GOUPIL-68,NA,NA,NA,NA,NA,NA,NA
GOUPIL-70,NA,NA,NA,NA,NA,NA,NA
GOUPIL-71,NA,NA,NA,NA,NA,NA,NA
GOUPIL-72,NA,NA,NA,NA,NA,NA,NA
GOUPIL-73,NA,NA,NA,NA,NA,NA,NA
GOUPIL-74,NA,NA,NA,NA,NA,NA,NA
GOUPIL-75,NA,NA,NA,NA,NA,NA,NA
GOUPIL-76,NA,NA,NA,NA,NA,NA,NA
GOUPIL-77,NA,NA,NA,NA,NA,NA,NA
GOUPIL-78,NA,NA,NA,NA,NA,NA,NA
GOUPIL-79,NA,NA,NA,NA,NA,NA,NA
GOUPIL-80,NA,NA,NA,NA,NA,NA,NA
GOUPIL-81,NA,NA,NA,NA,NA,NA,NA
GOUPIL-82,NA,NA,NA,NA,NA,NA,NA
GOUPIL-83,NA,NA,NA,NA,NA,NA,NA
GOUPIL-84,NA,NA,NA,NA,NA,NA,NA
GOUPIL-85,NA,NA,NA,NA,NA,NA,NA
GOUPIL-86,NA,NA,NA,NA,NA,NA,NA
GOUPIL-87,NA,NA,NA,NA,NA,NA,NA
GOUPIL-88,NA,NA,NA,NA,NA,NA,NA
GOUPIL-89,NA,NA,NA,NA,NA,NA,NA
