sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8
GOUPIL-90,NA,NA,NA,NA,NA,NA,NA
GOUPIL-91,NA,NA,NA,NA,NA,NA,NA
GOUPIL-92,NA,NA,NA,NA,NA,NA,NA
GOUPIL-93,NA,NA,NA,NA,NA,NA,NA
GOUPIL-94,NA,NA,NA,NA,NA,NA,NA
GOUPIL-95,NA,NA,NA,NA,NA,NA,NA
GOUPIL-96,NA,NA,NA,NA,NA,NA,NA
GOUPIL-97,NA,NA,NA,NA,NA,NA,NA
GOUPIL-98,NA,NA,NA,NA,NA,NA,NA
GOUPIL-99,NA,NA,NA,NA,NA,NA,NA
GOUPIL-100,NA,NA,NA,NA,NA,NA,NA
GOUPIL-101,NA,NA,NA,NA,NA,NA,NA
GOUPIL-102,NA,NA,NA,NA,NA,NA,NA
GOUPIL-103,NA,NA,NA,NA,NA,NA,NA
GOUPIL-104,NA,NA,NA,NA,NA,NA,NA
GOUPIL-105,NA,NA,NA,NA,NA,NA,NA
GOUPIL-106,NA,NA,NA,NA,NA,NA,NA
GOUPIL-107,NA,NA,NA,NA,NA,NA,NA
GOUPIL-108,NA,NA,NA,NA,NA,NA,NA
GOUPIL-109,NA,NA,NA,NA,NA,NA,NA
GOUPIL-110,NA,NA,NA,NA,NA,NA,NA
GOUPIL-111,NA,NA,NA,NA,NA,NA,NA
GOUPIL-112,NA,NA,NA,NA,NA,NA,NA
GOUPIL-113,NA,NA,NA,NA,NA,NA,NA
GOUPIL-114,NA,NA,NA,NA,NA,NA,NA
GOUPIL-115,NA,NA,NA,NA,NA,NA,NA
GOUPIL-116,NA,NA,NA,NA,NA,NA,NA
GOUPIL-117,NA,NA,NA,NA,NA,NA,NA
GOUPIL-118,NA,NA,NA,NA,NA,NA,NA
GOUPIL-119,NA,NA,NA,NA,NA,NA,NA
GOUPIL-120,NA,NA,NA,NA,NA,NA,NA
GOUPIL-121,NA,NA,NA,NA,NA,NA,NA
GOUPIL-122,NA,NA,NA,NA,NA,NA,NA
GOUPIL-123,NA,NA,NA,NA,NA,NA,NA
GOUPIL-124,NA,NA,NA,NA,NA,NA,NA
GOUPIL-125,NA,NA,NA,NA,NA,NA,NA
GOUPIL-126,NA,NA,NA,NA,NA,NA,NA
GOUPIL-127,GOUPIL-7588,NA,NA,NA,NA,NA,NA
GOUPIL-128,NA,NA,NA,NA,NA,NA,NA
GOUPIL-129,NA,NA,NA,NA,NA,NA,NA
GOUPIL-130,NA,NA,NA,NA,NA,NA,NA
GOUPIL-131,NA,NA,NA,NA,NA,NA,NA
GOUPIL-132,NA,NA,NA,NA,NA,NA,NA
GOUPIL-133,NA,NA,NA,NA,NA,NA,NA
GOUPIL-134,NA,NA,NA,NA,NA,NA,NA
GOUPIL-135,NA,NA,NA,NA,NA,NA,NA
GOUPIL-136,NA,NA,NA,NA,NA,NA,NA
GOUPIL-137,NA,NA,NA,NA,NA,NA,NA
GOUPIL-138,NA,NA,NA,NA,NA,NA,NA
GOUPIL-139,NA,NA,NA,NA,NA,NA,NA
GOUPIL-140,NA,NA,NA,NA,NA,NA,NA
GOUPIL-141,NA,NA,NA,NA,NA,NA,NA
GOUPIL-142,NA,NA,NA,NA,NA,NA,NA
GOUPIL-143,NA,NA,NA,NA,NA,NA,NA
GOUPIL-144,NA,NA,NA,NA,NA,NA,NA
GOUPIL-145,GOUPIL-7589,NA,NA,NA,NA,NA,NA
GOUPIL-146,NA,NA,NA,NA,NA,NA,NA
GOUPIL-147,NA,NA,NA,NA,NA,NA,NA
GOUPIL-148,NA,NA,NA,NA,NA,NA,NA
GOUPIL-149,NA,NA,NA,NA,NA,NA,NA
GOUPIL-150,NA,NA,NA,NA,NA,NA,NA
GOUPIL-151,NA,NA,NA,NA,NA,NA,NA
GOUPIL-152,NA,NA,NA,NA,NA,NA,NA
GOUPIL-153,NA,NA,NA,NA,NA,NA,NA
GOUPIL-154,NA,NA,NA,NA,NA,NA,NA
GOUPIL-155,NA,NA,NA,NA,NA,NA,NA
GOUPIL-156,NA,NA,NA,NA,NA,NA,NA
GOUPIL-157,NA,NA,NA,NA,NA,NA,NA
GOUPIL-158,NA,NA,NA,NA,NA,NA,NA
GOUPIL-159,NA,NA,NA,NA,NA,NA,NA
GOUPIL-160,NA,NA,NA,NA,NA,NA,NA
GOUPIL-161,NA,NA,NA,NA,NA,NA,NA
GOUPIL-162,NA,NA,NA,NA,NA,NA,NA
GOUPIL-163,NA,NA,NA,NA,NA,NA,NA
GOUPIL-164,NA,NA,NA,NA,NA,NA,NA
GOUPIL-165,NA,NA,NA,NA,NA,NA,NA
GOUPIL-166,NA,NA,NA,NA,NA,NA,NA
GOUPIL-167,NA,NA,NA,NA,NA,NA,NA
GOUPIL-168,NA,NA,NA,NA,NA,NA,NA
GOUPIL-169,NA,NA,NA,NA,NA,NA,NA
GOUPIL-170,NA,NA,NA,NA,NA,NA,NA
GOUPIL-171,NA,NA,NA,NA,NA,NA,NA
GOUPIL-172,NA,NA,NA,NA,NA,NA,NA
GOUPIL-173,NA,NA,NA,NA,NA,NA,NA
GOUPIL-174,NA,NA,NA,NA,NA,NA,NA
GOUPIL-175,NA,NA,NA,NA,NA,NA,NA
GOUPIL-176,NA,NA,NA,NA,NA,NA,NA
GOUPIL-16924,GOUPIL-177,NA,NA,NA,NA,NA,NA
GOUPIL-178,NA,NA,NA,NA,NA,NA,NA
GOUPIL-179,NA,NA,NA,NA,NA,NA,NA
GOUPIL-180,NA,NA,NA,NA,NA,NA,NA
GOUPIL-181,GOUPIL-7133,GOUPIL-7377,NA,NA,NA,NA,NA
GOUPIL-182,NA,NA,NA,NA,NA,NA,NA
GOUPIL-183,NA,NA,NA,NA,NA,NA,NA
GOUPIL-184,NA,NA,NA,NA,NA,NA,NA
GOUPIL-185,NA,NA,NA,NA,NA,NA,NA
GOUPIL-186,NA,NA,NA,NA,NA,NA,NA
GOUPIL-187,GOUPIL-7140,GOUPIL-7379,NA,NA,NA,NA,NA
GOUPIL-188,NA,NA,NA,NA,NA,NA,NA
GOUPIL-189,NA,NA,NA,NA,NA,NA,NA
GOUPIL-190,NA,NA,NA,NA,NA,NA,NA
GOUPIL-191,NA,NA,NA,NA,NA,NA,NA
GOUPIL-192,NA,NA,NA,NA,NA,NA,NA
GOUPIL-193,NA,NA,NA,NA,NA,NA,NA
GOUPIL-194,NA,NA,NA,NA,NA,NA,NA
GOUPIL-195,NA,NA,NA,NA,NA,NA,NA
GOUPIL-196,NA,NA,NA,NA,NA,NA,NA
GOUPIL-197,GOUPIL-7155,NA,NA,NA,NA,NA,NA
GOUPIL-198,GOUPIL-2859,NA,NA,NA,NA,NA,NA
GOUPIL-199,NA,NA,NA,NA,NA,NA,NA
GOUPIL-200,NA,NA,NA,NA,NA,NA,NA
GOUPIL-201,GOUPIL-7159,GOUPIL-7160,GOUPIL-7383,GOUPIL-7595,NA,NA,NA
GOUPIL-16083,GOUPIL-202,GOUPIL-7161,GOUPIL-7384,NA,NA,NA,NA
GOUPIL-203,NA,NA,NA,NA,NA,NA,NA
GOUPIL-204,GOUPIL-5798,NA,NA,NA,NA,NA,NA
GOUPIL-205,NA,NA,NA,NA,NA,NA,NA
GOUPIL-206,NA,NA,NA,NA,NA,NA,NA
GOUPIL-207,NA,NA,NA,NA,NA,NA,NA
GOUPIL-208,NA,NA,NA,NA,NA,NA,NA
GOUPIL-209,NA,NA,NA,NA,NA,NA,NA
GOUPIL-210,NA,NA,NA,NA,NA,NA,NA
GOUPIL-211,GOUPIL-5799,NA,NA,NA,NA,NA,NA
GOUPIL-212,NA,NA,NA,NA,NA,NA,NA
GOUPIL-213,GOUPIL-5800,NA,NA,NA,NA,NA,NA
GOUPIL-214,GOUPIL-7176,GOUPIL-7387,NA,NA,NA,NA,NA
GOUPIL-215,NA,NA,NA,NA,NA,NA,NA
GOUPIL-216,NA,NA,NA,NA,NA,NA,NA
GOUPIL-217,NA,NA,NA,NA,NA,NA,NA
GOUPIL-218,NA,NA,NA,NA,NA,NA,NA
GOUPIL-219,NA,NA,NA,NA,NA,NA,NA
GOUPIL-220,NA,NA,NA,NA,NA,NA,NA
GOUPIL-221,NA,NA,NA,NA,NA,NA,NA
GOUPIL-222,NA,NA,NA,NA,NA,NA,NA
GOUPIL-223,NA,NA,NA,NA,NA,NA,NA
GOUPIL-224,NA,NA,NA,NA,NA,NA,NA
GOUPIL-225,NA,NA,NA,NA,NA,NA,NA
GOUPIL-226,NA,NA,NA,NA,NA,NA,NA
GOUPIL-227,NA,NA,NA,NA,NA,NA,NA
GOUPIL-228,NA,NA,NA,NA,NA,NA,NA
GOUPIL-229,NA,NA,NA,NA,NA,NA,NA
GOUPIL-230,NA,NA,NA,NA,NA,NA,NA
GOUPIL-231,NA,NA,NA,NA,NA,NA,NA
GOUPIL-232,NA,NA,NA,NA,NA,NA,NA
GOUPIL-233,GOUPIL-7199,NA,NA,NA,NA,NA,NA
GOUPIL-234,NA,NA,NA,NA,NA,NA,NA
GOUPIL-235,GOUPIL-7201,NA,NA,NA,NA,NA,NA
GOUPIL-236,GOUPIL-7202,NA,NA,NA,NA,NA,NA
GOUPIL-237,NA,NA,NA,NA,NA,NA,NA
GOUPIL-238,NA,NA,NA,NA,NA,NA,NA
GOUPIL-239,NA,NA,NA,NA,NA,NA,NA
GOUPIL-240,GOUPIL-2866,NA,NA,NA,NA,NA,NA
GOUPIL-241,NA,NA,NA,NA,NA,NA,NA
GOUPIL-242,NA,NA,NA,NA,NA,NA,NA
GOUPIL-243,NA,NA,NA,NA,NA,NA,NA
GOUPIL-244,NA,NA,NA,NA,NA,NA,NA
GOUPIL-245,NA,NA,NA,NA,NA,NA,NA
GOUPIL-246,NA,NA,NA,NA,NA,NA,NA
GOUPIL-247,NA,NA,NA,NA,NA,NA,NA
GOUPIL-248,NA,NA,NA,NA,NA,NA,NA
GOUPIL-249,NA,NA,NA,NA,NA,NA,NA
GOUPIL-250,NA,NA,NA,NA,NA,NA,NA
GOUPIL-251,NA,NA,NA,NA,NA,NA,NA
GOUPIL-252,NA,NA,NA,NA,NA,NA,NA
GOUPIL-253,NA,NA,NA,NA,NA,NA,NA
GOUPIL-254,NA,NA,NA,NA,NA,NA,NA
GOUPIL-255,GOUPIL-7226,NA,NA,NA,NA,NA,NA
GOUPIL-256,NA,NA,NA,NA,NA,NA,NA
GOUPIL-257,NA,NA,NA,NA,NA,NA,NA
GOUPIL-258,NA,NA,NA,NA,NA,NA,NA
GOUPIL-259,NA,NA,NA,NA,NA,NA,NA
GOUPIL-260,NA,NA,NA,NA,NA,NA,NA
GOUPIL-261,NA,NA,NA,NA,NA,NA,NA
GOUPIL-262,NA,NA,NA,NA,NA,NA,NA
GOUPIL-263,NA,NA,NA,NA,NA,NA,NA
GOUPIL-264,GOUPIL-7235,GOUPIL-7236,GOUPIL-7396,GOUPIL-7602,NA,NA,NA
GOUPIL-265,NA,NA,NA,NA,NA,NA,NA
GOUPIL-266,NA,NA,NA,NA,NA,NA,NA
GOUPIL-267,NA,NA,NA,NA,NA,NA,NA
GOUPIL-268,NA,NA,NA,NA,NA,NA,NA
GOUPIL-269,NA,NA,NA,NA,NA,NA,NA
GOUPIL-270,NA,NA,NA,NA,NA,NA,NA
GOUPIL-271,NA,NA,NA,NA,NA,NA,NA
GOUPIL-272,NA,NA,NA,NA,NA,NA,NA
GOUPIL-273,NA,NA,NA,NA,NA,NA,NA
GOUPIL-274,NA,NA,NA,NA,NA,NA,NA
GOUPIL-275,NA,NA,NA,NA,NA,NA,NA
GOUPIL-276,NA,NA,NA,NA,NA,NA,NA
GOUPIL-277,NA,NA,NA,NA,NA,NA,NA
GOUPIL-278,NA,NA,NA,NA,NA,NA,NA
GOUPIL-279,NA,NA,NA,NA,NA,NA,NA
GOUPIL-280,NA,NA,NA,NA,NA,NA,NA
GOUPIL-281,NA,NA,NA,NA,NA,NA,NA
GOUPIL-282,NA,NA,NA,NA,NA,NA,NA
GOUPIL-283,NA,NA,NA,NA,NA,NA,NA
GOUPIL-284,NA,NA,NA,NA,NA,NA,NA
GOUPIL-285,NA,NA,NA,NA,NA,NA,NA
GOUPIL-286,NA,NA,NA,NA,NA,NA,NA
GOUPIL-287,NA,NA,NA,NA,NA,NA,NA
GOUPIL-288,NA,NA,NA,NA,NA,NA,NA
GOUPIL-289,NA,NA,NA,NA,NA,NA,NA
GOUPIL-290,NA,NA,NA,NA,NA,NA,NA
GOUPIL-291,NA,NA,NA,NA,NA,NA,NA
GOUPIL-292,NA,NA,NA,NA,NA,NA,NA
GOUPIL-293,GOUPIL-7265,NA,NA,NA,NA,NA,NA
GOUPIL-294,NA,NA,NA,NA,NA,NA,NA
GOUPIL-295,NA,NA,NA,NA,NA,NA,NA
GOUPIL-296,NA,NA,NA,NA,NA,NA,NA
GOUPIL-297,NA,NA,NA,NA,NA,NA,NA
GOUPIL-298,NA,NA,NA,NA,NA,NA,NA
GOUPIL-299,NA,NA,NA,NA,NA,NA,NA
GOUPIL-300,NA,NA,NA,NA,NA,NA,NA
GOUPIL-301,NA,NA,NA,NA,NA,NA,NA
GOUPIL-302,NA,NA,NA,NA,NA,NA,NA
GOUPIL-303,NA,NA,NA,NA,NA,NA,NA
GOUPIL-304,NA,NA,NA,NA,NA,NA,NA
GOUPIL-305,NA,NA,NA,NA,NA,NA,NA
GOUPIL-306,NA,NA,NA,NA,NA,NA,NA
GOUPIL-307,NA,NA,NA,NA,NA,NA,NA
GOUPIL-308,NA,NA,NA,NA,NA,NA,NA
GOUPIL-309,NA,NA,NA,NA,NA,NA,NA
GOUPIL-310,NA,NA,NA,NA,NA,NA,NA
GOUPIL-311,NA,NA,NA,NA,NA,NA,NA
GOUPIL-312,NA,NA,NA,NA,NA,NA,NA
GOUPIL-313,NA,NA,NA,NA,NA,NA,NA
GOUPIL-314,NA,NA,NA,NA,NA,NA,NA
GOUPIL-315,NA,NA,NA,NA,NA,NA,NA
GOUPIL-316,NA,NA,NA,NA,NA,NA,NA
GOUPIL-317,NA,NA,NA,NA,NA,NA,NA
GOUPIL-318,NA,NA,NA,NA,NA,NA,NA
GOUPIL-319,NA,NA,NA,NA,NA,NA,NA
GOUPIL-320,NA,NA,NA,NA,NA,NA,NA
GOUPIL-321,NA,NA,NA,NA,NA,NA,NA
GOUPIL-322,NA,NA,NA,NA,NA,NA,NA
GOUPIL-323,NA,NA,NA,NA,NA,NA,NA
GOUPIL-324,NA,NA,NA,NA,NA,NA,NA
GOUPIL-325,NA,NA,NA,NA,NA,NA,NA
GOUPIL-326,NA,NA,NA,NA,NA,NA,NA
GOUPIL-327,NA,NA,NA,NA,NA,NA,NA
GOUPIL-1119,GOUPIL-328,NA,NA,NA,NA,NA,NA
GOUPIL-329,NA,NA,NA,NA,NA,NA,NA
GOUPIL-330,NA,NA,NA,NA,NA,NA,NA
GOUPIL-331,NA,NA,NA,NA,NA,NA,NA
GOUPIL-332,NA,NA,NA,NA,NA,NA,NA
GOUPIL-333,NA,NA,NA,NA,NA,NA,NA
GOUPIL-334,NA,NA,NA,NA,NA,NA,NA
GOUPIL-335,NA,NA,NA,NA,NA,NA,NA
GOUPIL-336,NA,NA,NA,NA,NA,NA,NA
GOUPIL-337,NA,NA,NA,NA,NA,NA,NA
GOUPIL-338,NA,NA,NA,NA,NA,NA,NA
GOUPIL-339,NA,NA,NA,NA,NA,NA,NA
GOUPIL-340,NA,NA,NA,NA,NA,NA,NA
GOUPIL-341,NA,NA,NA,NA,NA,NA,NA
GOUPIL-342,NA,NA,NA,NA,NA,NA,NA
GOUPIL-343,NA,NA,NA,NA,NA,NA,NA
GOUPIL-344,NA,NA,NA,NA,NA,NA,NA
GOUPIL-345,NA,NA,NA,NA,NA,NA,NA
GOUPIL-346,NA,NA,NA,NA,NA,NA,NA
GOUPIL-347,NA,NA,NA,NA,NA,NA,NA
GOUPIL-348,NA,NA,NA,NA,NA,NA,NA
GOUPIL-349,NA,NA,NA,NA,NA,NA,NA
GOUPIL-350,NA,NA,NA,NA,NA,NA,NA
GOUPIL-351,NA,NA,NA,NA,NA,NA,NA
GOUPIL-352,NA,NA,NA,NA,NA,NA,NA
GOUPIL-353,NA,NA,NA,NA,NA,NA,NA
GOUPIL-354,GOUPIL-7328,NA,NA,NA,NA,NA,NA
GOUPIL-355,NA,NA,NA,NA,NA,NA,NA
GOUPIL-356,NA,NA,NA,NA,NA,NA,NA
GOUPIL-357,NA,NA,NA,NA,NA,NA,NA
GOUPIL-358,NA,NA,NA,NA,NA,NA,NA
GOUPIL-359,NA,NA,NA,NA,NA,NA,NA
GOUPIL-360,NA,NA,NA,NA,NA,NA,NA
GOUPIL-361,NA,NA,NA,NA,NA,NA,NA
GOUPIL-362,NA,NA,NA,NA,NA,NA,NA
GOUPIL-363,NA,NA,NA,NA,NA,NA,NA
GOUPIL-364,NA,NA,NA,NA,NA,NA,NA
GOUPIL-365,NA,NA,NA,NA,NA,NA,NA
GOUPIL-366,NA,NA,NA,NA,NA,NA,NA
GOUPIL-367,NA,NA,NA,NA,NA,NA,NA
GOUPIL-368,NA,NA,NA,NA,NA,NA,NA
GOUPIL-369,NA,NA,NA,NA,NA,NA,NA
GOUPIL-370,NA,NA,NA,NA,NA,NA,NA
GOUPIL-371,GOUPIL-7345,NA,NA,NA,NA,NA,NA
GOUPIL-372,NA,NA,NA,NA,NA,NA,NA
GOUPIL-373,NA,NA,NA,NA,NA,NA,NA
GOUPIL-374,NA,NA,NA,NA,NA,NA,NA
GOUPIL-375,NA,NA,NA,NA,NA,NA,NA
GOUPIL-376,NA,NA,NA,NA,NA,NA,NA
GOUPIL-377,GOUPIL-378,NA,NA,NA,NA,NA,NA
GOUPIL-379,NA,NA,NA,NA,NA,NA,NA
GOUPIL-380,NA,NA,NA,NA,NA,NA,NA
GOUPIL-381,NA,NA,NA,NA,NA,NA,NA
GOUPIL-382,NA,NA,NA,NA,NA,NA,NA
GOUPIL-383,NA,NA,NA,NA,NA,NA,NA
GOUPIL-384,NA,NA,NA,NA,NA,NA,NA
GOUPIL-385,NA,NA,NA,NA,NA,NA,NA
GOUPIL-386,NA,NA,NA,NA,NA,NA,NA
GOUPIL-387,NA,NA,NA,NA,NA,NA,NA
GOUPIL-388,NA,NA,NA,NA,NA,NA,NA
GOUPIL-389,NA,NA,NA,NA,NA,NA,NA
GOUPIL-390,NA,NA,NA,NA,NA,NA,NA
GOUPIL-391,NA,NA,NA,NA,NA,NA,NA
GOUPIL-392,NA,NA,NA,NA,NA,NA,NA
GOUPIL-393,NA,NA,NA,NA,NA,NA,NA
GOUPIL-394,NA,NA,NA,NA,NA,NA,NA
GOUPIL-395,NA,NA,NA,NA,NA,NA,NA
GOUPIL-396,NA,NA,NA,NA,NA,NA,NA
GOUPIL-397,NA,NA,NA,NA,NA,NA,NA
GOUPIL-398,NA,NA,NA,NA,NA,NA,NA
GOUPIL-399,NA,NA,NA,NA,NA,NA,NA
GOUPIL-400,NA,NA,NA,NA,NA,NA,NA
GOUPIL-16125,GOUPIL-401,GOUPIL-7408,NA,NA,NA,NA,NA
GOUPIL-402,NA,NA,NA,NA,NA,NA,NA
GOUPIL-403,NA,NA,NA,NA,NA,NA,NA
GOUPIL-404,NA,NA,NA,NA,NA,NA,NA
GOUPIL-405,NA,NA,NA,NA,NA,NA,NA
GOUPIL-406,NA,NA,NA,NA,NA,NA,NA
GOUPIL-407,NA,NA,NA,NA,NA,NA,NA
GOUPIL-408,NA,NA,NA,NA,NA,NA,NA
GOUPIL-409,NA,NA,NA,NA,NA,NA,NA
GOUPIL-410,NA,NA,NA,NA,NA,NA,NA
GOUPIL-411,NA,NA,NA,NA,NA,NA,NA
GOUPIL-412,NA,NA,NA,NA,NA,NA,NA
GOUPIL-413,NA,NA,NA,NA,NA,NA,NA
GOUPIL-414,NA,NA,NA,NA,NA,NA,NA
GOUPIL-415,NA,NA,NA,NA,NA,NA,NA
GOUPIL-416,NA,NA,NA,NA,NA,NA,NA
GOUPIL-417,NA,NA,NA,NA,NA,NA,NA
GOUPIL-418,NA,NA,NA,NA,NA,NA,NA
GOUPIL-419,NA,NA,NA,NA,NA,NA,NA
GOUPIL-420,NA,NA,NA,NA,NA,NA,NA
GOUPIL-421,NA,NA,NA,NA,NA,NA,NA
GOUPIL-422,NA,NA,NA,NA,NA,NA,NA
GOUPIL-423,NA,NA,NA,NA,NA,NA,NA
GOUPIL-424,NA,NA,NA,NA,NA,NA,NA
GOUPIL-425,NA,NA,NA,NA,NA,NA,NA
GOUPIL-426,NA,NA,NA,NA,NA,NA,NA
GOUPIL-427,NA,NA,NA,NA,NA,NA,NA
GOUPIL-428,NA,NA,NA,NA,NA,NA,NA
GOUPIL-429,NA,NA,NA,NA,NA,NA,NA
GOUPIL-430,NA,NA,NA,NA,NA,NA,NA
GOUPIL-431,NA,NA,NA,NA,NA,NA,NA
GOUPIL-432,NA,NA,NA,NA,NA,NA,NA
GOUPIL-433,NA,NA,NA,NA,NA,NA,NA
GOUPIL-434,NA,NA,NA,NA,NA,NA,NA
GOUPIL-435,NA,NA,NA,NA,NA,NA,NA
GOUPIL-436,NA,NA,NA,NA,NA,NA,NA
GOUPIL-437,NA,NA,NA,NA,NA,NA,NA
GOUPIL-438,NA,NA,NA,NA,NA,NA,NA
GOUPIL-440,NA,NA,NA,NA,NA,NA,NA
GOUPIL-441,NA,NA,NA,NA,NA,NA,NA
GOUPIL-442,NA,NA,NA,NA,NA,NA,NA
GOUPIL-1985,GOUPIL-443,NA,NA,NA,NA,NA,NA
GOUPIL-444,NA,NA,NA,NA,NA,NA,NA
GOUPIL-445,NA,NA,NA,NA,NA,NA,NA
GOUPIL-446,GOUPIL-7409,NA,NA,NA,NA,NA,NA
GOUPIL-447,NA,NA,NA,NA,NA,NA,NA
GOUPIL-448,NA,NA,NA,NA,NA,NA,NA
GOUPIL-449,NA,NA,NA,NA,NA,NA,NA
GOUPIL-450,NA,NA,NA,NA,NA,NA,NA
GOUPIL-451,NA,NA,NA,NA,NA,NA,NA
GOUPIL-452,NA,NA,NA,NA,NA,NA,NA
GOUPIL-453,NA,NA,NA,NA,NA,NA,NA
GOUPIL-1994,GOUPIL-454,NA,NA,NA,NA,NA,NA
GOUPIL-1995,GOUPIL-455,GOUPIL-7410,NA,NA,NA,NA,NA
GOUPIL-456,NA,NA,NA,NA,NA,NA,NA
GOUPIL-457,NA,NA,NA,NA,NA,NA,NA
GOUPIL-458,NA,NA,NA,NA,NA,NA,NA
